year_almanac,year_stats_end,dioceses,missionary_jurisdictions,bishops,bishops_elect,priests_and_deacons,clergy_all,parishes,ordination_deacons,ordination_priests,candidates_for_orders,churches_consecrated,baptisms_infants,baptisms_adults,baptisms_undefined,confirmations,communicants_added,communicants_reported,communicants_present,marriages,burials,sunday_school_teachers,sunday_school_scholars,offerings,source_url
1909,1908,,,,,,,,,,,,,,,,,,,,,,,,
1910,1909,,,,,,,,,,,,,,,,,,,,,,,,
1911,1910,,,,,,,,,,,,,,,,,,,,,,,,
1912,1911,,,,,,,,,,,,,,,,,,,,,,,,
1913,1912,,,,,,,,,,,,,,,,,,,,,,,,
1914,1913,,,,,,,,,,,,,,,,,,,,,,,,
1915,1914,,,,,,,,,,,,,,,,,,,,,,,,
1916,1915,,,,,,,,,,,,,,,,,,,,,,,,
1917,1916,,,,,,,,,,,,,,,,,,,,,,,,
1918,1917,,,,,,,,,,,,,,,,,,,,,,,,
1919,1918,,,,,,,,,,,,,,,,,,,,,,,,
1920,1919,,,,,,,,,,,,,,,,,,,,,,,,
1921,1920,,,,,,,,,,,,,,,,,,,,,,,,
