"city","state","year","long","lat","confessions","converts","number_missions"
"Buffalo","NY",1873,-78.8783689,42.8864468,4500,7,1
"Burlington","VT",1858,-73.212072,44.4758825,1400,2,1
"Caledonia","MN",1876,-91.4968076,43.6346913,960,6,1
"Cambridge","MA",1862,-71.1097335,42.3736158,2500,2,1
"Cambridgeport","MA",1891,-71.1077157,42.3595761,5165,0,1
"Cameron","PA",1890,-78.1564432,41.4261564,45,0,1
"Camp Grove","IL",1878,-89.6331524,41.0789258,580,1,1
"Canal Fulton","OH",1892,-81.597623,40.8897784,400,1,1
"Canandagua","NY",1855,-77.2816984,42.887535,700,0,1
"Canandaigua","NY",1886,-77.2816984,42.887535,1760,4,1
"Canandaigua","NY",1892,-77.2816984,42.887535,1580,4,1
"Cannon St.","NY",1880,-73.9802919,40.7151188,4530,18,1
"Canton","MA",1890,-71.1447732,42.1584324,1875,0,1
"Canton","MA",1891,-71.1447732,42.1584324,1400,0,1
"Canton","OH",1873,-81.378447,40.7989473,700,22,1
"Carbon","IN",1881,-87.1068681,39.5996395,84,0,1
"Carbondale","PA",1863,-75.5018508,41.5736935,2100,7,1
"Carlisle","PA",1880,-77.195,40.2025,195,2,1
"Cayuga","NY",1887,-76.7263397,42.9189555,300,0,1
"Central Falls","NY",1874,-73.8320824,44.0778319,1450,12,1
"Chambersburg","PA",1880,-77.6611022,39.9375911,660,7,2
"Charleston","IL",1877,-88.1761521,39.4961458,160,0,1
"Charleston","IL",1881,-88.1761521,39.4961458,204,0,1
"Charleston","SC",1857,-79.9309216,32.7765656,3100,20,1
"Charlestown","MA",1855,-71.0602131,42.3782065,2800,3,1
"Charlestown","MA",1889,-71.0602131,42.3782065,4466,0,1
"Charlestown","NY",1877,-71.6418744,41.3832162,6900,25,1
"Chatham","NJ",1890,-74.3837624,40.740934,152,0,1
"Chelsea","MA",1876,-71.0328284,42.3917638,3200,14,1
"Chelsea","MA",1882,-71.0328284,42.3917638,3250,16,1
"Chelsea","MA",1883,-71.0328284,42.3917638,1050,0,1
"Chelsea","MA",1889,-71.0328284,42.3917638,4006,2,1
"Chelsea","MI",1887,-84.0205029,42.3180919,550,1,1
"Chicago","IL",1863,-87.6297982,41.8781136,2600,8,1
"Chicago","IL",1874,-87.6297982,41.8781136,2300,13,2
"Chicago","IL",1877,-87.6297982,41.8781136,4366,8,2
"Chicago","IL",1878,-87.6297982,41.8781136,1100,0,1
"Chicago","IL",1879,-87.6297982,41.8781136,2163,5,1
"Chicago","IL",1881,-87.6297982,41.8781136,6150,13,2
"Chicago","IL",1883,-87.6297982,41.8781136,625,0,1
"Chicago","IL",1884,-87.6297982,41.8781136,3279,0,1
"Chicago","IL",1885,-87.6297982,41.8781136,4220,1,2
"Chicago","IL",1888,-87.6297982,41.8781136,1985,1,1
"Chicago","IL",1890,-87.6297982,41.8781136,6193,5,2
"Chicago","IL",1892,-87.6297982,41.8781136,2250,0,1
"Chicago","IL",1893,-87.6297982,41.8781136,2250,4,1
"Chicopee","MA",1863,-72.6078672,42.1487043,2600,3,1
"Chicopee Falls","MA",1879,-72.5784089,42.1544318,1200,0,1
"Cincinnati","OH",1852,-84.5120196,39.1031182,5000,0,1
"Cincinnati","OH",1873,-84.5120196,39.1031182,3000,2,1
"Circleville","OH",1874,-82.9460133,39.600618,400,8,1
"Circleville","OH",1881,-82.9460133,39.600618,430,1,1
"Cleveland","OH",1853,-81.6954088,41.4994954,2300,3,1
"Cleveland","OH",1855,-81.6954088,41.4994954,3300,0,1
"Cleveland","OH",1878,-81.6954088,41.4994954,1323,1,1
"Cleveland","OH",1891,-81.6954088,41.4994954,3550,0,1
"Cleveland","OH",1893,-81.6954088,41.4994954,6700,5,2
"Clifton, Staten Island","NY",1860,-74.0784785,40.6189726,1250,3,1
"Clifton, Staten Island","NY",1865,-74.0784785,40.6189726,1600,13,1
"Coatesville","PA",1891,-75.8238355,39.9831616,625,0,1
"Cohoes","NY",1852,-73.7001187,42.7742446,1400,0,1
"Cold Spring","NY",1857,-73.954583,41.4200937,800,2,1
"Cold Spring","NY",1865,-73.954583,41.4200937,721,0,1
"Columbus","GA",1857,-84.9877094,32.4609764,170,1,1
"Columbus","OH",1873,-82.9987942,39.9611755,2100,0,1
"Concord","MA",1889,-71.3489484,42.4603719,1665,1,1
"Conesus","NY",1887,-77.6763859,42.7189532,120,3,1
"Covington","KY",1858,-84.5085536,39.0836712,1450,0,1
"Currie","MN",1885,-95.6663993,44.071351,232,0,1
"Cussewago","PA",1851,-80.2098219,41.7985407,270,0,1
"Danvers","MA",1890,-70.932122,42.5750009,1418,0,1
"Davenport","IA",1888,-90.5776367,41.5236437,1695,7,2
"Dayton's Bluff, St. Paul","MN",1887,-93.0626284,44.9543909,709,0,1
"Dedham","MA",1893,-71.166143,42.2411916,1600,0,1
"Defiance","OH",1877,-84.3557802,41.2844933,450,1,1
"Defiance","OH",1883,-84.3557802,41.2844933,625,0,1
"Defiance","OH",1888,-84.3557802,41.2844933,640,0,1
"Delavan","WI",1881,-88.6437138,42.6330703,536,0,1
"Denver","CO",1881,-104.9847179,39.737567,2900,4,1
"Denver","CO",1891,-104.9847179,39.737567,1505,3,2
"Deposit","NY",1879,-75.4276769,42.0600834,480,0,1
"Detroit","MI",1852,-83.0457538,42.331427,3000,0,1
"Detroit","MI",1877,-83.0457538,42.331427,2000,0,1
"Detroit","MI",1892,-83.0457538,42.331427,3150,3,2
"Dover","NH",1891,-70.8736698,43.1978624,2705,0,1
"Dunmore","PA",1862,-75.6324112,41.4198027,700,0,1
"Durango","CO",1882,-107.8800667,37.27528,60,0,1
"East Boston","MA",1861,-71.0388601,42.3702137,2900,0,1
"East Boston","MA",1874,-71.0388601,42.3702137,2350,18,1
"East Boston","MA",1890,-71.0388601,42.3702137,1440,1,1
"East Cambridge","MA",1883,-71.0824613,42.3683353,5490,2,1
"East Hampton","CT",1890,-72.5026249,41.5757748,228,0,1
"East Minneapolis","MN",1886,-93.26667,44.983334,1818,6,1
"East Rush","NY",1887,-77.6455564,42.9958962,335,0,1
"East Rutland","VT",1858,-72.9726065,43.6106237,840,0,1
"East Weymouth","MA",1893,-70.9294163,42.2125125,1300,3,1
"Elizabeth","NJ",1861,-74.2107006,40.6639916,950,1,1
"Elizabethport","NJ",1860,-74.1870888,40.6501031,1000,1,1
"Ellicot City","MD",1886,-76.7983067,39.2673283,50,0,1
"Ellsworth","MN",1887,-96.018356,43.518023,100,0,1
"Emmitsburg","MD",1854,-77.3269307,39.7045417,500,0,1
"Emporium","PA",1890,-78.2352872,41.5114521,410,0,1
"Erie","PA",1851,-80.085059,42.1292241,1000,0,1
"Evansville","IN",1880,-87.5710898,37.9715592,794,6,1
"Evansville","IN",1881,-87.5710898,37.9715592,1100,0,2
"Evansville","IN",1889,-87.5710898,37.9715592,700,0,1
"Everett","MA",1877,-71.0536625,42.40843,468,5,1
"Everett","MA",1882,-71.0536625,42.40843,497,3,1
"Fall River","MA",1873,-71.1550451,41.7014912,5300,8,1
"Faribault","MN",1875,-93.268827,44.2949636,1300,6,1
"Faribault","MN",1886,-93.268827,44.2949636,917,0,1
"Farmington","MN",1886,-93.1435497,44.6402434,145,1,1
"Far Rockaway","NY",1888,-73.7448437,40.5998931,996,0,2
"Fitchburg","MA",1888,-71.8022955,42.5834228,1291,0,1
"Flanagan","IL",1889,-88.8611818,40.878089,250,0,1
"Flora","IL",1877,-88.4856042,38.6689364,150,4,1
"Florence","MA",1892,-72.6716667,42.3355556,1075,1,1
"Flushing","NY",1853,-73.833079,40.7674987,950,0,1
"Fond du Lac","WI",1874,-88.4470508,43.7730448,1650,2,1
"Forest City","MN",1876,-94.4663799,45.2063519,700,3,1
"Fort Fairfield","ME",1883,-67.8339004,46.7722294,230,0,1
"Fort Washington","NY",1883,-73.9459708,40.8501001,670,0,1
"Fountain","MN",1876,-92.1362717,43.7399639,440,3,1
"Frankfort","KY",1855,-84.8732835,38.2009055,350,2,1
"Franklin","PA",1882,-79.8314437,41.3978358,432,6,1
"Fredricksburg","VA",1880,-77.4605399,38.3031837,75,2,1
"Frostburg","MD",1888,-78.928357,39.6581424,1232,1,1
"Fulda","MN",1885,-95.6002856,43.8705185,300,0,1
"Galesburg","IL",1877,-90.3712395,40.9478158,1000,2,1
"Galesburg","IL",1888,-90.3712395,40.9478158,1020,0,1
"Garder","MA",1878,-71.998133,42.5750883,975,0,1
"Genesee","NY",1890,-78.1564432,42.9837843,535,3,1
"Geneva","NY",1891,-76.9777436,42.8689552,2470,2,1
"Glen Cove","NY",1887,-73.6337389,40.8623217,830,0,1
"Gloucester","MA",1889,-70.6619888,42.6159285,2900,4,1
"Gold Hill","NV",1875,-119.6574011,39.2904678,660,1,1
"Goshen","NY",1886,-74.3243191,41.4020382,680,0,1
"Greenfield","MA",1879,-72.5994104,42.587915,550,0,1
"Greenfield","MA",1891,-72.5994104,42.587915,962,0,1
"Greenport","NY",1887,-72.3592501,41.1034326,300,1,1
"Greenwood","NY",1874,-77.6483236,42.13507,260,0,1
"Gunnison","CO",1882,-106.9253207,38.5458246,0,0,1
"Hagerstown","MD",1880,-77.7199932,39.6417629,410,1,1
"Halifax","NS",1862,-63.5753196,44.6488625,5636,4,1
"Hamilton","NY",1881,-75.5446238,42.8270136,550,0,1
"Hancock","MD",1888,-78.1797293,39.6989809,204,0,1
"Harford Co.","MD",1883,-76.3637285,39.5838964,217,0,1
"Harford County","MD",1853,-76.3637285,39.5838964,320,0,1
"Harlem","NY",1878,-73.9464769,40.8115504,4539,0,1
"Harlem","NY",1888,-73.9464769,40.8115504,3435,12,1
"Harper's Ferry","WV",1880,-77.7388818,39.3253786,225,2,1
"Harper's Ferry","WV",1884,-77.7388818,39.3253786,250,2,1
"Harrisonburg","VA",1884,-78.8689155,38.4495688,72,0,1
"Hart","MN",1876,-91.7398706,43.8755194,215,2,1
"Hartford","CT",1881,-72.6850932,41.7637111,4288,0,1
"Hartford","CT",1882,-72.6850932,41.7637111,4622,2,1
"Hastings","MN",1876,-92.8513706,44.7443293,1050,1,1
"Haverhill","MA",1861,-71.0772796,42.7762015,1002,4,1
"Havre de Grace","MD",1884,-76.091617,39.5492792,380,1,1
"Hempstead","NY",1892,-73.6187397,40.7062128,410,2,1
"Hickory","IN",1888,-87.1719823,41.4281251,420,3,1
"Hickory","MD",1883,-75.5949108,38.3762854,563,3,1
"Highland","MN",1876,-91.8701524,43.6807984,370,1,1
"Highland Falls","NY",1886,-73.9662504,41.3692605,475,0,1
"Highland Falls","NY",1889,-73.9662504,41.3692605,433,2,1
"Highland Falls","NY",1892,-73.9662504,41.3692605,350,0,1
"Hoboken","NJ",1856,-74.0323626,40.7439905,700,7,1
"Hollidaysburg","PA",1851,-78.3889024,40.4272949,1000,0,1
"Holyoke","MA",1861,-72.6162009,42.2042586,1850,5,1
"Honeoye","NY",1887,-77.5166873,42.7900604,253,2,1
"Honeoye Falls","NY",1887,-77.5902759,42.9522855,355,1,1
"Honesdale","PA",1864,-75.2587871,41.5767552,1400,1,1
"Houlton","ME",1883,-67.8402316,46.1261806,470,2,1
"Hudson","NY",1857,-73.790959,42.2528649,800,0,1
"Hudson City","NJ",1860,-73.9242251,41.1896081,1100,1,1
"Huntington, Long Island","NY",1886,-73.425676,40.8681539,416,1,1
"Hyattsville","MD",1892,-76.9455301,38.9559442,155,3,1
"Idaho Springs","CO",1882,-105.5136081,39.7424881,100,3,1
"Indianapolis","IN",1877,-86.158068,39.768403,3790,4,1
"Indianapolis","IN",1891,-86.158068,39.768403,1300,9,1
"Indianapolis","IN",1892,-86.158068,39.768403,750,0,1
"Irvington","NJ",1882,-74.2286435,40.7263249,125,0,1
"Irvington","NJ",1889,-74.2286435,40.7263249,300,0,1
"Ithaca","NY",1876,-76.5018807,42.4439614,1120,7,1
"Ithaca","NY",1887,-76.5018807,42.4439614,1482,3,1
"Jackson","MI",1858,-84.4013462,42.245869,450,1,1
"Jamaica Plain","MA",1885,-71.1151431,42.3097365,2770,0,1
"Jamaica Plain","MA",1886,-71.1151431,42.3097365,2700,2,1
"Jersey City","NJ",1859,-74.0776417,40.7281575,1950,3,1
"Jersey City","NJ",1862,-74.0776417,40.7281575,2875,0,1
"Jersey City","NJ",1874,-74.0776417,40.7281575,4800,6,1
"Jersey City","NJ",1876,-74.0776417,40.7281575,5000,7,1
"Jersey City","NJ",1883,-74.0776417,40.7281575,4764,12,1
"Jersey City","NY",1878,-74.0776417,40.7281575,1343,3,1
"Jersey City Heights","NJ",1889,-74.0505752,40.7473758,3273,4,1
"Johnstown","PA",1851,-78.9219698,40.3267407,1000,0,1
"Johnstown","PA",1879,-78.9219698,40.3267407,2344,4,1
"Joliet","IL",1884,-88.0817251,41.525031,2480,2,1
"Kalamazoo","MI",1858,-85.5872286,42.2917069,430,2,1
"Kalamazoo","MI",1892,-85.5872286,42.2917069,1600,0,1
"Kenastia","WI",1881,-87.8211854,42.5847425,1114,0,2
"Kenastia","WI",1882,-87.8211854,42.5847425,500,0,1
"Kenoska","WI",1886,-87.8211854,42.5847425,750,0,1
"Kensington","CT",1883,-72.7687083,41.6353769,395,0,1
"Keyset","WV",1884,-78.9739156,39.4409277,190,0,1
"Kings Bridge","NY",1883,-73.9051362,40.8787108,540,0,1
"Kingston","MA",1883,-70.7284371,41.993305,190,0,1
"Kingston","NY",1874,-73.9973608,41.9270367,1400,1,1
"Kingston","ON",1860,-76.4859544,44.2311717,2640,5,1
"Lacon","IL",1878,-89.4112007,41.0247583,360,0,1
"Lake City and West Albany","MN",1876,-92.341887,44.4131284,443,2,1
"Lancaster","OH",1864,-82.5993294,39.7136754,800,3,1
"Lanesboro","MN",1876,-91.9768224,43.7207974,620,13,1
"Lawrence","MA",1860,-71.1631137,42.7070354,2150,0,1
"Leading Creek","WV",1887,-80.8056079,39.0013239,164,0,1
"Leadville","CO",1882,-106.2925238,39.2508229,1700,5,1
"Lee","MA",1887,-73.2481951,42.3042151,1070,1,1
"Lenox","MA",1887,-73.2848762,42.3564609,765,2,1
"Leominster","MA",1879,-71.759794,42.5250906,725,0,1
"Leominster","MA",1888,-71.759794,42.5250906,960,0,1
"Leominster","MA",1891,-71.759794,42.5250906,1260,0,1
"Le Sueur","MN",1876,-93.9088889,44.4658333,520,2,1
"Lexington","KY",1855,-84.5037164,38.0405837,600,3,1
"Lexington","MA",1874,-71.2289641,42.4430372,400,4,1
"Lexington","VA",1880,-79.4428157,37.7840208,24,0,1
"Lima","NY",1887,-77.6113869,42.9047857,812,0,1
"Little Falls","NY",1858,-74.8595957,43.0434039,800,3,1
"Little Falls","NY",1880,-74.8595957,43.0434039,1780,9,1
"Little Orleans","MD",1888,-78.3864002,39.625925,96,0,1
"Livingston","NJ",1890,-74.3300842,40.7862871,30,0,1
"Livonia","NY",1887,-77.6686097,42.8214525,430,1,1
"Lockport","NY",1888,-78.6903098,43.1706128,1435,0,1
"Long Branch","NJ",1892,-73.9923596,40.3042778,600,1,1
"Long Branch","NY",1886,-73.9923596,40.3042778,515,0,1
"Loretto","PA",1851,-78.630296,40.5031263,1700,0,1
"Louisville","KY",1852,-85.7584557,38.2526647,2000,3,1
"Lowell","MA",1882,-71.3161718,42.6334247,5800,0,1
"Lowell","MA",1884,-71.3161718,42.6334247,6508,0,1
"Luverne","MN",1887,-96.2025289,43.6555249,180,0,1
"Lynchburg","VA",1884,-79.1422464,37.4137536,625,2,1
"Lynchburg","VA",1891,-79.1422464,37.4137536,700,1,1
"Lyons","IA",1878,-95.7932008,40.9545835,860,1,1
"Lyons","NY",1888,-76.9902456,43.0642305,465,0,1
"Lyons","NY",1891,-76.9902456,43.0642305,795,3,1
"Macedon","NY",1888,-77.2988746,43.0692299,440,1,1
"Macon","GA",1856,-83.6324022,32.8406946,210,3,1
"Madison","WI",1879,-89.4012302,43.0730517,1896,8,1
"Mamaroneck","NY",1880,-73.7326309,40.9487097,490,0,1
"Mamaroneck","NY",1885,-73.7326309,40.9487097,630,6,1
"Manchester","NH",1865,-71.4547891,42.9956397,2600,0,1
"Manchester","NH",1890,-71.4547891,42.9956397,3559,0,1
"Manhattanville","NY",1855,-73.9558333,40.8169443,1400,0,1
"Manhattanville","NY",1874,-73.9558333,40.8169443,2600,6,1
"Manhattanville","NY",1886,-73.9558333,40.8169443,1500,0,1
"Manhattanville","NY",1890,-73.9558333,40.8169443,1720,0,1
"Marine City","MI",1880,-82.492132,42.7194778,1000,3,1
"Marine City","MI",1881,-82.492132,42.7194778,1055,3,1
"Marine City","MI",1889,-82.492132,42.7194778,1250,3,1
"Marlboro","MA",1891,-71.5522874,42.3459271,3770,3,1
"Marseilles","IL",1884,-88.7081293,41.3308666,150,0,1
"Marshall","IL",1877,-87.6936384,39.3914252,340,7,1
"Marshall","IL",1881,-87.6936384,39.3914252,382,1,1
"Marshall","MI",1858,-84.9633148,42.2722641,575,1,1
"Martinsburg","WV",1880,-77.9638869,39.4562099,582,0,1
"Martinsburg","WV",1884,-77.9638869,39.4562099,670,5,1
"Marysville","CA",1875,-121.5913547,39.1457253,550,5,1
"Meadville","PA",1893,-80.1514484,41.6414438,900,1,1
"Meriden","CT",1860,-72.8070435,41.5381535,810,0,1
"Meriden","CT",1892,-72.8070435,41.5381535,4650,6,1
"Middletown","CT",1860,-72.6506488,41.5623209,2270,3,1
"Milford","MA",1882,-71.5163049,42.1398577,2700,1,1
"Milton","MA",1865,-71.0661653,42.2495321,1200,1,1
"Milton","MA",1872,-71.0661653,42.2495321,2000,0,1
"Milwaukee","WI",1881,-87.9064736,43.0389025,500,0,1
"Milwaukee","WI",1882,-87.9064736,43.0389025,3270,3,1
"Milwaukee","WI",1886,-87.9064736,43.0389025,2946,0,1
"Minneapolis","MN",1875,-93.26667,44.983334,2200,12,1
"Minneapolis","MN",1886,-93.26667,44.983334,2265,2,1
"Mobile","AL",1854,-88.0430541,30.6943566,1300,2,1
"Mobile","AL",1886,-88.0430541,30.6943566,900,4,1
"Mobile","AL",1890,-88.0430541,30.6943566,1230,0,1
"Monmouth","IL",1878,-90.6473576,40.9114271,510,1,1
"Monmouth","IL",1892,-90.6473576,40.9114271,485,0,1
"Montezuma","NY",1888,-76.7032833,43.010065,165,2,1
"Montgomery","AL",1886,-86.2999689,32.3668052,495,2,1
"Montreal","Canada",1892,-73.5539925,45.5086699,8728,0,1
"Mooresville","MD",1888,-78.0316969,39.6920767,36,0,1
"Morrisania","NY",1888,-73.9109977,40.8250663,1075,5,1
"Morrison","IL",1878,-89.9651186,41.809751,127,0,1
"Morrissania","NY",1885,-73.9109977,40.8250663,997,5,1
"Morristown","NJ",1886,-74.4815438,40.7967667,800,0,1
"Morristown","NJ",1888,-74.4815438,40.7967667,1727,0,1
"Morristown","NJ",1893,-74.4815438,40.7967667,2087,3,1
"Mott Haven","NY",1892,-73.9228881,40.8091068,3980,3,1
"Mount Robinson","CO",1882,-105.3452765,38.1138903,120,0,1
"Mt. Pleasant","IA",1889,-91.5487714,40.9716959,425,0,1
"Mt. Savage","MD",1888,-78.8797442,39.6956417,478,1,1
"Mt. Vernon","NY",1891,-73.8370786,40.9125992,1050,0,1
"Mt. Vernon","OH",1890,-82.4857181,40.3933956,630,1,1
"Muncie","IN",1889,-85.3863599,40.1933767,2125,6,1
"Muscatine","IA",1888,-91.0432051,41.424473,720,0,1
"Mystic Bridge","CT",1889,-71.9109282,41.4400788,285,0,1
"Nashua","NH",1871,-71.467566,42.7653662,1261,0,1
"Neponset","MA",1892,-71.1344539,42.2237683,1610,1,1
"Newark","NJ",1854,-74.1723667,40.735657,4400,0,1
"Newark","NJ",1857,-74.1723667,40.735657,1900,0,1
"Newark","NJ",1865,-74.1723667,40.735657,1400,0,1
"Newark","NJ",1892,-74.1723667,40.735657,1575,0,1
"Newark","NY",1888,-77.0952516,43.0467301,350,0,1
"New Brighton, Staten Island","NY",1853,-74.090226,40.6404369,1200,0,1
"New Britain","CT",1860,-72.7795419,41.6612104,1230,0,1
"New Britain","CT",1884,-72.7795419,41.6612104,4642,9,1
"New Britain","CT",1893,-72.7795419,41.6612104,5285,4,1
"Newburgh","NY",1856,-74.0104178,41.5034271,1350,3,1
"Newburgh","NY",1885,-74.0104178,41.5034271,2485,1,1
"Newburgh","OH",1879,-82.9409387,40.0092839,1960,0,1
"Newburgh","OH",1889,-82.9409387,40.0092839,2685,1,1
"Newburyport","MA",1861,-70.8772751,42.8125913,1900,0,1
"Newburyport","MA",1888,-70.8772751,42.8125913,2377,0,1
"Newburyport","MA",1892,-70.8772751,42.8125913,2740,0,1
"New Haven","CT",1859,-72.9278835,41.308274,2060,4,1
"New Haven","CT",1874,-72.9278835,41.308274,2600,8,1
"New Haven","CT",1890,-72.9278835,41.308274,3540,2,1
"New Lebanon","NY",1882,-73.3964977,42.4639722,410,1,1
"New London","CT",1873,-72.0995209,41.3556539,1400,2,1
"New London","CT",1879,-72.0995209,41.3556539,1826,4,1
"New Orleans","LA",1854,-90.0715323,29.9510658,11000,10,6
"New Orleans","LA",1886,-90.0715323,29.9510658,4300,0,1
"Newport","NY",1861,-75.0143244,43.1859025,370,1,1
"New Richmond","WI",1881,-92.5365865,45.1230213,404,7,1
"New York","NY",1851,-74.0059731,40.7143528,17000,0,3
"New York","NY",1853,-74.0059731,40.7143528,7800,0,1
"New York","NY",1856,-74.0059731,40.7143528,4000,0,1
"New York","NY",1858,-74.0059731,40.7143528,7700,15,2
